Time,Temp,SoC,DoD,C,V,R0
123536080.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123668785.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123707366.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123756301.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123764128.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123791801.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123798892.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123800736.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123864642.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123866229.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123874809.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123943642.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
123966921.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124114145.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124115625.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124132715.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124133682.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124134650.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124202067.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124362825.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124407116.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124450674.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124455838.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124457217.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124458372.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124458808.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124479932.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124496549.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124552886.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124621404.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124633253.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124640289.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124645626.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124646510.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124671894.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124701919.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124727479.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124803270.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
124968115.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125062422.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125082245.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125094669.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125257392.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125274193.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125311170.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
125576130.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126520212.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126648470.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126708109.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126780197.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126806530.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126809489.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126866507.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126873968.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126880479.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126951788.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
126980588.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127071751.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127144437.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127158934.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127267308.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127405135.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127418363.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127424424.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127597647.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127658440.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127675764.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127683273.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
127778301.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128023271.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128031132.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128076301.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128102523.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128104697.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128109449.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128112381.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128176928.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128194093.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128195964.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128198883.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128212362.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128254926.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128439827.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128442660.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128443482.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128529146.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128590620.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128631005.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128728220.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128772257.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
128971941.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129054331.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129058782.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129163717.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129289444.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129373651.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129385352.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129390919.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129393787.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129413374.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
